Time,T1,T2,T3,T4
3060,88.77657,60.381126,33.875446,9.23427
3070,88.78455,60.404163,33.898426,9.242185
3080,88.792496,60.427,33.921204,9.25003
3090,88.800354,60.44964,33.943806,9.257814
3100,88.80812,60.472084,33.96622,9.265534
3110,88.81582,60.49436,33.988438,9.2731905
3120,88.82347,60.51644,34.010494,9.280786
3130,88.831055,60.538364,34.032356,9.288321
3140,88.838585,60.560097,34.054035,9.295791
3150,88.84604,60.58165,34.07554,9.303203
3160,88.8534,60.603024,34.096878,9.31055
3170,88.86073,60.62423,34.118042,9.317836
3180,88.868004,60.645237,34.13905,9.325067
3190,88.87521,60.666103,34.159847,9.332235
3200,88.88235,60.686794,34.18047,9.339353
3210,88.889435,60.7073,34.20096,9.34641
3220,88.896454,60.72764,34.221287,9.353406
3230,88.90338,60.747814,34.241436,9.360349
3240,88.91031,60.767838,34.26139,9.367236
3250,88.917145,60.78767,34.28119,9.374065
3260,88.92399,60.807373,34.300846,9.380841
3270,88.93072,60.82688,34.32032,9.387555
3280,88.93741,60.846245,34.33965,9.394215
3290,88.944016,60.86545,34.358814,9.400825
3300,88.95059,60.884495,34.37782,9.407382
3310,88.95712,60.90337,34.396667,9.413885
3320,88.963585,60.9221,34.415375,9.420334
3330,88.97002,60.94066,34.433903,9.426733
3340,88.97639,60.95908,34.452305,9.43308
3350,88.982735,60.977367,34.470554,9.439371
3360,88.98897,60.995487,34.48864,9.445607
3370,88.99516,61.013447,34.50658,9.451795
3380,89.001305,61.031284,34.52439,9.4579315
3390,89.0074,61.048973,34.542034,9.464022
3400,89.01342,61.06651,34.559547,9.470055
3410,89.01939,61.08389,34.57691,9.476045
3420,89.02535,61.101135,34.594147,9.481996
3430,89.03124,61.118237,34.61123,9.48789
3440,89.03712,61.135193,34.628178,9.493734
3450,89.04295,61.152,34.644985,9.499535
3460,89.048706,61.168686,34.661655,9.5052805
3470,89.05441,61.18523,34.67818,9.5109825
3480,89.06006,61.20163,34.69459,9.516642
3490,89.06568,61.217922,34.71085,9.522247
3500,89.07123,61.234074,34.726974,9.527812
3510,89.076744,61.250095,34.74299,9.533332
3520,89.08222,61.265972,34.758854,9.538806
3530,89.08767,61.281708,34.774593,9.544231
3540,89.09307,61.297344,34.79019,9.549616
3550,89.09842,61.312828,34.805664,9.554959
3560,89.10376,61.328197,34.821014,9.560259
3570,89.109024,61.343422,34.836254,9.56551
3580,89.11424,61.358524,34.85135,9.570718
3590,89.11943,61.3735,34.866325,9.575883
3600,89.12456,61.38837,34.881184,9.581013
3610,89.12962,61.40313,34.895916,9.586097
3620,89.134674,61.41777,34.910534,9.591137
3630,89.13969,61.43231,34.925034,9.59614
3640,89.144615,61.446655,34.939396,9.601095
3650,89.14957,61.46095,34.95366,9.606012
3660,89.154434,61.475166,34.96779,9.610881
3670,89.159256,61.489185,34.98181,9.615718
3680,89.16408,61.503136,34.995735,9.620519
3690,89.168846,61.516953,35.009552,9.625277
3700,89.17358,61.530643,35.023247,9.629992
3710,89.17823,61.544296,35.036827,9.634676
3720,89.1829,61.557728,35.050255,9.63932
3730,89.18753,61.5711,35.06362,9.643927
3740,89.192116,61.58432,35.07686,9.64849
3750,89.19666,61.59743,35.089985,9.653016
3760,89.201164,61.610477,35.103016,9.657505
3770,89.20565,61.623363,35.11594,9.661963
3780,89.21008,61.636143,35.12873,9.666389
3790,89.21453,61.64884,35.14141,9.670777
3800,89.21887,61.661434,35.15397,9.675124
3810,89.2232,61.67392,35.166443,9.679435
3820,89.22749,61.686306,35.178818,9.683712
3830,89.231705,61.69863,35.19109,9.687953
3840,89.23591,61.71084,35.20327,9.692159
3850,89.240105,61.722977,35.21537,9.696326
3860,89.24423,61.734993,35.227386,9.700463
3870,89.24832,61.746925,35.23932,9.704565
3880,89.2524,61.758755,35.25115,9.708635
3890,89.25646,61.77049,35.262875,9.712674
3900,89.26045,61.782124,35.27451,9.716683
3910,89.26443,61.79365,35.28604,9.720654
3920,89.26838,61.805077,35.29748,9.724597
3930,89.27229,61.81641,35.30883,9.728505
3940,89.27618,61.82764,35.320076,9.732377
3950,89.28002,61.8388,35.331207,9.736214
3960,89.283844,61.849857,35.342266,9.740025
3970,89.28761,61.860825,35.353233,9.743803
3980,89.29137,61.871685,35.364105,9.747556
3990,89.2951,61.882458,35.374886,9.751276
4000,89.29884,61.893135,35.385567,9.754968
4010,89.30246,61.903744,35.396183,9.758624
4020,89.30612,61.91426,35.406696,9.762254
4030,89.309715,61.924686,35.41713,9.765853
4040,89.31331,61.935017,35.42746,9.7694235
4050,89.31686,61.945282,35.437748,9.772965
4060,89.32036,61.955452,35.447914,9.776474
4070,89.32385,61.965534,35.45801,9.779959
4080,89.32733,61.975525,35.46803,9.783413
4090,89.330765,61.985462,35.47796,9.7868395
4100,89.33418,61.9953,35.4878,9.790245
4110,89.33755,62.005043,35.497574,9.793608
4120,89.34088,62.014732,35.507263,9.796951
4130,89.34419,62.024338,35.516857,9.800271
4140,89.34746,62.033855,35.52639,9.803558
4150,89.350716,62.043278,35.535835,9.806819
4160,89.35396,62.052654,35.545204,9.810052
4170,89.35719,62.061954,35.554497,9.813263
4180,89.360374,62.071148,35.563713,9.816447
4190,89.36351,62.080273,35.57284,9.819608
4200,89.36659,62.089336,35.581913,9.822734
4210,89.3697,62.098328,35.59089,9.825833
4220,89.37276,62.10725,35.59981,9.828911
4230,89.37582,62.116085,35.608654,9.831957
4240,89.37884,62.124863,35.617416,9.834983
4250,89.38184,62.133545,35.626106,9.837985
4260,89.384796,62.142162,35.634735,9.840974
4270,89.38774,62.150703,35.6433,9.843937
4280,89.39072,62.1592,35.651794,9.846873
4290,89.3936,62.1676,35.66021,9.849783
4300,89.39649,62.175945,35.668552,9.852668
4310,89.39932,62.18423,35.67685,9.855529
4320,89.40215,62.192444,35.68507,9.858363
4330,89.40492,62.20057,35.69322,9.861174
4340,89.407684,62.20864,35.7013,9.86396
4350,89.41044,62.21666,35.70932,9.866725
4360,89.413185,62.224586,35.71728,9.869468
4370,89.41595,62.23245,35.725166,9.872181
4380,89.41858,62.240253,35.732986,9.874869
4390,89.421234,62.247993,35.740738,9.877545
4400,89.42391,62.255657,35.748432,9.880216
4410,89.426506,62.26328,35.75606,9.882856
4420,89.42914,62.27083,35.763626,9.885473
4430,89.43166,62.27833,35.771126,9.888063
4440,89.43422,62.28577,35.778557,9.890629
4450,89.43676,62.293125,35.785927,9.893178
4460,89.4393,62.300457,35.793232,9.895703
4470,89.44177,62.307705,35.80049,9.898207
4480,89.444214,62.314903,35.807663,9.900689
4490,89.446686,62.322033,35.81479,9.903148
4500,89.44905,62.32915,35.82188,9.905582
4510,89.45147,62.336174,35.828907,9.908006
4520,89.45386,62.343143,35.83587,9.910407
4530,89.45626,62.350063,35.84278,9.912792
4540,89.45858,62.356922,35.849617,9.915157
4550,89.46093,62.363777,35.85646,9.917509
4560,89.463234,62.370502,35.8632,9.919834
4570,89.46556,62.377213,35.869904,9.922145
4580,89.46784,62.383835,35.876556,9.924431
4590,89.47014,62.390415,35.88311,9.926695
4600,89.47237,62.396935,35.88964,9.928946
4610,89.47456,62.40342,35.896076,9.931175
4620,89.47678,62.40981,35.90248,9.933388
4630,89.479004,62.41617,35.908794,9.935587
4640,89.48121,62.42245,35.915073,9.937767
4650,89.48333,62.4287,35.92129,9.939932
4660,89.48546,62.434902,35.92747,9.942079
4670,89.48754,62.44105,35.93361,9.944203
4680,89.48968,62.44717,35.93971,9.946311
4690,89.491745,62.453243,35.945755,9.948396
4700,89.49384,62.459255,35.951767,9.95046
4710,89.49593,62.465214,35.957745,9.952511
4720,89.4979,62.471138,35.963673,9.954547
4730,89.499916,62.477013,35.969536,9.956567
4740,89.50194,62.482834,35.97537,9.958575
4750,89.50393,62.488605,35.98114,9.960566
4760,89.50592,62.49432,35.986866,9.962545
4770,89.50786,62.49999,35.992546,9.964503
4780,89.509705,62.505623,35.998177,9.966445
4790,89.51163,62.51119,36.00375,9.96837
4800,89.51354,62.51674,36.00929,9.970276
4810,89.51545,62.522224,36.014782,9.972166
4820,89.51721,62.527668,36.02022,9.974047
4830,89.519104,62.53307,36.025608,9.975909
4840,89.5209,62.538406,36.030956,9.977757
4850,89.522675,62.543728,36.036255,9.9795885
4860,89.524536,62.549,36.04152,9.981404
4870,89.5263,62.55421,36.046745,9.983207
4880,89.52813,62.55938,36.05192,9.984993
4890,89.52983,62.56451,36.057053,9.986765
4900,89.53162,62.5696,36.062145,9.988523
4910,89.5333,62.574646,36.06719,9.99026
4920,89.535,62.57965,36.072197,9.991992
4930,89.5367,62.58461,36.077164,9.993707
4940,89.53832,62.589535,36.082085,9.995403
4950,89.54,62.594414,36.08697,9.997091
4960,89.54167,62.59924,36.091812,9.99876
4970,89.543304,62.604034,36.096615,10.000419
4980,89.54491,62.608788,36.10139,10.002057
4990,89.546524,62.6135,36.106102,10.003687
5000,89.54814,62.61817,36.110775,10.005304
5010,89.54979,62.622833,36.11542,10.006909
5020,89.55127,62.627445,36.12003,10.008498
5030,89.552826,62.63201,36.124588,10.0100765
5040,89.55438,62.636578,36.12912,10.011641
5050,89.55589,62.641056,36.133595,10.013192
5060,89.55742,62.645485,36.13805,10.014729
5070,89.55891,62.649883,36.142467,10.016249
5080,89.56031,62.654266,36.146854,10.017769
5090,89.56172,62.658607,36.151215,10.019271
5100,89.56329,62.662907,36.15552,10.020764
5110,89.56479,62.667156,36.159805,10.022246
5120,89.566216,62.671406,36.164043,10.023718
5130,89.56757,62.675594,36.168255,10.025177
5140,89.56904,62.679752,36.17242,10.026619
5150,89.57042,62.683895,36.17656,10.028046
5160,89.57173,62.687973,36.180668,10.029464
5170,89.573166,62.692043,36.184746,10.030869
5180,89.57455,62.696068,36.188797,10.032262
5190,89.57596,62.70008,36.19281,10.033641
5200,89.57722,62.704044,36.196793,10.035014
5210,89.57859,62.70798,36.200745,10.036374
5220,89.579956,62.711876,36.20466,10.037723
5230,89.58127,62.715748,36.20853,10.039061
5240,89.58257,62.719597,36.212383,10.040389
5250,89.58389,62.7234,36.21617,10.041705
5260,89.5851,62.727177,36.21995,10.043008
5270,89.586494,62.730923,36.22371,10.044303
5280,89.58774,62.734634,36.227413,10.045586
5290,89.589,62.73833,36.231106,10.046856
5300,89.59009,62.741985,36.23475,10.0481205
5310,89.59142,62.745636,36.238384,10.049369
5320,89.59272,62.749218,36.241978,10.050604
5330,89.593895,62.7528,36.245552,10.051837
5340,89.59506,62.756332,36.24906,10.053055
5350,89.59611,62.75987,36.252575,10.054266
5360,89.597404,62.763344,36.256077,10.0554695
5370,89.59863,62.76681,36.259556,10.056665
5380,89.59984,62.77028,36.262993,10.057848
5390,89.6009,62.773674,36.266415,10.059024
5400,89.601974,62.777046,36.269802,10.060188
5410,89.60319,62.780396,36.273148,10.061346
5420,89.604164,62.783714,36.2765,10.062493
5430,89.60541,62.786995,36.279797,10.063624
5440,89.60629,62.790245,36.283066,10.064748
5450,89.60731,62.79346,36.28631,10.065864
5460,89.60849,62.796654,36.28952,10.066973
5470,89.60957,62.7998,36.292706,10.068069
5480,89.61069,62.802937,36.295856,10.069159
5490,89.6117,62.80605,36.29898,10.070236
5500,89.61274,62.809135,36.302082,10.071309
5510,89.613754,62.81218,36.30516,10.0723715
5520,89.61497,62.81523,36.308216,10.073426
5530,89.61584,62.81823,36.31124,10.074466
5540,89.61677,62.821224,36.31425,10.0755
5550,89.617775,62.82419,36.317223,10.076523
5560,89.61862,62.827118,36.320183,10.07754
5570,89.61971,62.83001,36.32311,10.078557
5580,89.62075,62.832897,36.326008,10.07956
5590,89.62154,62.835762,36.328873,10.080557
5600,89.622604,62.838577,36.331726,10.08155
5610,89.62354,62.841396,36.334545,10.082534
5620,89.6246,62.844193,36.337345,10.083506
5630,89.62526,62.846954,36.340122,10.084473
5640,89.62627,62.849674,36.342876,10.085425
5650,89.62699,62.852394,36.345604,10.086375
5660,89.62804,62.855095,36.348312,10.087317
5670,89.62876,62.857765,36.350983,10.088247
5680,89.62984,62.860428,36.35365,10.089172
5690,89.63042,62.86307,36.3563,10.090092
5700,89.631546,62.86567,36.358906,10.090999
5710,89.63226,62.86824,36.361496,10.091904
5720,89.6332,62.87083,36.36408,10.092796
5730,89.6342,62.87334,36.36664,10.093681
5740,89.63478,62.87587,36.36917,10.09456
5750,89.6359,62.878387,36.371685,10.095431
5760,89.63633,62.88085,36.374176,10.096292
5770,89.637314,62.88333,36.37666,10.097149
5780,89.63805,62.88578,36.379112,10.0980015
5790,89.638885,62.888203,36.38155,10.098842
5800,89.639946,62.89063,36.38396,10.099674
5810,89.64033,62.892998,36.38636,10.100498
5820,89.64138,62.895355,36.388744,10.101318
5830,89.64189,62.897705,36.3911,10.102134
5840,89.64278,62.900043,36.39343,10.102941
5850,89.64378,62.90236,36.39575,10.103744
5860,89.64417,62.904663,36.398052,10.104539
5870,89.644966,62.906944,36.40035,10.10533
5880,89.64572,62.90921,36.40262,10.10611
5890,89.646484,62.911465,36.404858,10.106882
5900,89.64737,62.913673,36.407093,10.10765
5910,89.647736,62.915874,36.4093,10.108409
5920,89.64875,62.918064,36.411488,10.109159
5930,89.64958,62.92023,36.413677,10.109912
5940,89.64985,62.92237,36.41584,10.110656
5950,89.65074,62.924484,36.41798,10.111401
5960,89.651215,62.92663,36.420097,10.112133
5970,89.65194,62.928677,36.422203,10.112857
5980,89.65278,62.930763,36.42429,10.113577
5990,89.65336,62.93285,36.426373,10.114291
6000,89.65396,62.934875,36.42842,10.114996
6010,89.6547,62.936916,36.430458,10.115697
6020,89.65503,62.93894,36.43249,10.116392
6030,89.65586,62.940914,36.4345,10.117083
6040,89.65677,62.942883,36.436497,10.117765
6050,89.657234,62.944874,36.438473,10.118442
6060,89.6578,62.946808,36.44043,10.119118
6070,89.65863,62.948746,36.442368,10.119784
6080,89.65917,62.950672,36.444283,10.120447
6090,89.65963,62.952583,36.44619,10.121107
6100,89.66035,62.954456,36.44808,10.121757
6110,89.66081,62.956326,36.449963,10.122403
